Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
109,HECTOR BEVERAGES PVT LTD,Belgium,ADVENT MANAGEMENT BELGIUM,NEW DELHI,"Manufacture of other
non-alcoholic beverages n.e.c.",17.00,0.24,
110,SIXTH SENSE AVIATION AND TRAVELS PVT LTD,Belgium,FREDERIK WINNE,NEW DELHI,Other business support service activities n.e.c.,0.45,0.01,
111,ONYMY INFOCOMM PRIVATE LIMITED,Bangladesh,PRIYA SHYAM SUNDER,CHENNAI,Retail sale of non- customized software,1.00,0.01,
112,WORLDWIDE BMO CONSULTANTS PVT. LTD.,Canada,KARNI CLAIR,NEW DELHI,Computer consultancy and computer facilities management activities,0.10,0.00,
113,KINDLEBAG GUEST ACCOMODATION PVT LTD,Canada,Eqbal Singh Matharu,PANAJI,"Provision of short stay accommodation n.e.c. (e.g. holiday homes, private guest houses etc.)",2.30,0.03,
114,FACES COSMETICS INDIA PVT LTD,Canada,FACES COSMETICS INC,NEW DELHI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",6.31,0.09,
115,ZEROVIA INTERNATIONAL LTD.,Canada,NAVNEET ANAND,NEW DELHI,Manufacture of other starch products n.e.c.,0.45,0.01,
116,AXSOURCE GLOBAL PVT. LTD.,Canada,NAVTEJ SEKHON,NEW DELHI,"Providing software support and maintenance to the
clients",0.08,0.00,
117,AXSOURCE GLOBAL PVT. LTD.,Canada,AVNEET SEKHON,NEW DELHI,"Providing software support and maintenance to the
clients",0.01,0.00,
118,FINTEGRATE ZONE INDIA PVT LTD,Canada,ALAN LYSNE,MUMBAI,"Other professional, scientific and technical activities
n.e.c.",0.02,0.00,
119,JEC DISTRIBUTORS PVT LTD,Canada,JEC DISTRIBUTORS INC,MUMBAI,Wholesale of other,0.32,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,"machinery, equipment and supplies n.e.c. including computer- controlled machine
tools",,,
120,DIGNITAS DIGITAL PVT. LTD.,Canada,VINCET TAYLOR ALTON,NEW DELHI,"Other information technology and computer service
activities n.e.c",0.90,0.01,
121,KOOL SOLUTIONS INDIA PVT LTD,Canada,Spire Group Ltd,MUMBAI,Warehousing of refrigerated (cold storage),4.00,0.06,
122,BPG INDIA PVT LTD,Canada,BROOKFIELD INDIA HOLDINGS INC,MUMBAI,Real estate activities on a fee or contract basis,0.10,0.00,
123,BELUST COMPOSITE PVT LTD,Canada,MRS SHINY JAFFER,AHMEDABAD,"Manufacture of metal reservoirs, tanks and
similar containers",0.13,0.00,
124,SUNGROVE ENERGY PVT LTD,Canada,SUNGROVE ENERGY INC,MUMBAI,"Electric power generation by hydroelectric power
plants",4.53,0.06,
125,SUNGROVE ENERGY PVT LTD,Canada,SUNGROVE ENERGY INC,MUMBAI,"Electric power generation by hydroelectric power
plants",2.06,0.03,
126,SUNGROVE ENERGY PVT LTD,Canada,SUNGROVE ENERGY INC,MUMBAI,"Electric power generation by hydroelectric power
plants",0.50,0.01,
127,SUNGROVE ENERGY PVT LTD,Canada,SUNGROVE ENERGY INC,MUMBAI,"Electric power generation by hydroelectric power
plants",3.26,0.05,
128,SUNGROVE ENERGY PVT LTD,Canada,SUNGROVE ENERGY INCE,MUMBAI,"Electric power generation by hydroelectric power
plants",1.28,0.02,
129,BPG INDIA PVT LTD,Canada,BPG HOLDINGS GROUP INC,MUMBAI,Real estate activities on a fee or contract basis,9.90,0.14,
130,AUTOFRIDGE INDIA PVT. LTD.,Canada,PARCO INTERNATIONAL INC,NEW DELHI,Manufacture of other electronic components n.e.c,0.10,0.00,
131,AUTOFRIDGE INDIA PVT. LTD.,Canada,PRAVEEN SWARUP,NEW DELHI,Manufacture of other electronic components n.e.c,0.00,0.00,
132,KAYLEE  HERBAL POWDER PRIVATE LIMITED,Canada,SONAL DODIYA,AHMEDABAD,Artificial dehydration of fruit and vegetables,0.51,0.01,
133,KINECTRICS INDIA PRIVATE LIMITED,Canada,AXIOM N D T CORPORATION,AHMEDABAD,Technical testing and analysis,0.10,0.00,
